playerID,H,AB,Games,HR
boccajo01,320,1462,551,26
bocekmi01,16,60,30,1
bochtbr01,1478,5233,1538,100
bochybr01,192,802,358,26
bockmed01,109,474,199,11
bococbr01,11,82,38,0
bodiepi01,1011,3670,1050,43
boeckto01,813,2880,777,27
boehmle01,19,116,50,0
boescbr01,394,1577,481,48
bogaexa01,528,1847,475,41
bogarti01,345,1516,701,24
bogente01,13,60,24,1
boggsbr01,68,326,130,10
boggswa01,3010,9180,2440,118
bogusbr01,178,748,321,19
bohenpa01,0,4,2,0
bohnch01,2,13,4,0
bohnesa01,605,2315,663,16
bohntj01,4,19,32,1
boiscbr01,241,917,410,10
bokenbo01,113,457,147,6
bolan01,0,4,1,0
bolaned01,35,136,57,0
boldch01,0,1,2,0
boldebi01,1,3,3,0
bolesca01,9,24,19,0
boleyjo01,478,1780,540,7
bolgeji01,140,612,310,6
bolicfr01,52,258,116,5
bollifr01,1415,5562,1540,106
bollija01,107,342,125,4
bollimi01,280,1161,400,19
bollwdo01,110,452,195,11
boltoce01,2,13,4,0
boltocl01,280,962,335,6
bondsba01,2935,9847,2986,762
bondsbo01,1886,7043,1849,332
bondwa01,307,1199,365,41
bonege01,13,43,12,0
bongini01,43,166,68,0
bonifem01,664,2572,793,13
bonilbo01,2010,7213,2113,287
bonilju01,375,1462,429,7
boninlu01,14,77,21,0
bonneba01,833,3068,976,56
bonnebi01,0,3,2,0
bonnebo01,21,108,55,0
bonnefr01,244,949,246,4
bonurze01,1099,3582,917,119
booeev01,77,352,125,0
bookebu01,6,33,23,2
bookero01,68,274,173,0
boolal01,73,308,129,7
booneaa01,1017,3871,1152,126
boonebo01,1838,7245,2264,105
boonebr01,1775,6683,1780,252
booneik01,372,1160,356,26
boonelu01,215,1028,315,6
boonera01,1260,4589,1373,151
booth01,0,2,1,0
boothed01,244,1014,242,1
bootyjo01,7,26,13,0
borboju01,219,802,294,8
borchjo01,147,716,301,26
bordafr01,745,2632,930,14
bordepa01,831,3282,1099,69
bordimi01,1500,5770,1720,91
borgmgl01,296,1294,474,16
borkobo01,294,1170,470,16
boromre01,36,144,62,0
borosst01,308,1255,420,26
bortoba01,254,940,317,4
boscajc01,7,28,16,0
boschdo01,52,318,146,4
bosetri01,385,1543,445,17
bosleth01,430,1581,784,20
bossha01,139,519,155,1
bostihe01,0,7,2,0
bostoda01,655,2629,1058,83
bostoly01,624,2004,526,23
bosweke01,625,2517,930,31
bottajo01,11,40,26,1
bottoji01,2313,7471,1991,219
bottsja01,65,282,93,5
bouchal01,119,516,147,2
bouched01,583,2199,670,61
bouchme01,5,17,17,0
boudrlo01,1779,6029,1646,68
bourgja01,179,708,317,6
bourjch01,5,22,13,1
bourjpe01,447,1840,713,37
bourju01,202,763,258,39
bournmi01,1272,4784,1361,36
bournra01,234,932,365,4
bourqpa01,87,405,201,12
bowala01,2191,8418,2247,15
bowcobe01,16,50,14,1
bowdeti01,2,9,7,0
bowench01,1,5,3,0
bowency01,1,3,2,0
bowenro01,79,378,216,9
bowensa01,287,1287,479,45
bowensa02,3,22,16,1
bowerbi01,15,78,26,0
bowerbr01,12,39,21,0
bowerfr01,852,3401,1045,13
bowesfr01,51,232,61,0
bowieji01,3,14,6,0
bowkejo01,133,574,240,17
bowlist01,47,236,103,1
bowliwe01,1,5,2,0
bowmabi01,4,45,15,0
bowmael01,0,1,2,0
bowmaer01,39,205,165,1
bowsere01,0,2,1,0
boydbi01,192,661,147,3
boydbo01,567,1936,693,19
boydfr01,1,5,2,0
boyercl02,1396,5780,1715,162
boyerke01,2143,7455,2034,282
boylado01,2,19,21,0
boylebu01,389,1343,366,12
boyleed01,0,14,5,0
boyleja01,1067,4222,1086,23
boyleja02,7,25,15,0
brackgi01,273,980,315,16
bradfbu01,363,1605,697,52
bradfvi01,1,5,6,0
bradlal01,0,3,1,0
bradlbi01,1471,5430,1461,33
bradlge02,2,12,4,0
bradlhu01,238,913,277,2
bradlja01,0,3,2,0
bradlja02,298,1258,394,40
